,Entity,Code,Year,Net_traded_Deforestation
525,France,FRA,2008,29031.762760887
526,France,FRA,2009,26503.01263233088
527,France,FRA,2010,24171.714236792875
528,France,FRA,2011,23363.77182433053
529,France,FRA,2012,25091.081856529177
530,France,FRA,2013,21888.559406761666
531,French Guiana,GUF,2005,0.0
532,French Guiana,GUF,2006,0.0
533,French Guiana,GUF,2007,0.0
534,French Guiana,GUF,2008,0.0
535,French Guiana,GUF,2009,0.0
536,French Guiana,GUF,2010,0.0
537,French Guiana,GUF,2011,0.0
538,French Guiana,GUF,2012,0.0
539,French Guiana,GUF,2013,0.0
540,French Polynesia,PYF,2005,90.40063278700454
541,French Polynesia,PYF,2006,169.59002882417627
542,French Polynesia,PYF,2007,395.5386844630799
543,French Polynesia,PYF,2008,228.6491392588379
544,French Polynesia,PYF,2009,97.27309760748656
545,French Polynesia,PYF,2010,104.20793753810878
546,French Polynesia,PYF,2011,102.08319577620038
547,French Polynesia,PYF,2012,93.49245206305127
548,French Polynesia,PYF,2013,101.02333601311778
549,Gabon,GAB,2005,554.384798391713
550,Gabon,GAB,2006,488.9777199672303
551,Gabon,GAB,2007,475.9316865736414
552,Gabon,GAB,2008,257.78608608015566
553,Gabon,GAB,2009,437.5650647795092
554,Gabon,GAB,2010,150.9137334811212
555,Gabon,GAB,2011,227.05226539877367
556,Gabon,GAB,2012,344.62967088660434
557,Gabon,GAB,2013,362.1876175146536
558,Gambia,GMB,2005,342.813203147096
559,Gambia,GMB,2006,431.7978747121144
560,Gambia,GMB,2007,324.6390262564041
561,Gambia,GMB,2008,238.0820759832816
562,Gambia,GMB,2009,667.6395810256397
563,Gambia,GMB,2010,564.9258496835471
564,Gambia,GMB,2011,750.3401400424976
565,Gambia,GMB,2012,685.5063109852409
566,Gambia,GMB,2013,128.52651757623036
567,Georgia,GEO,2005,326.44974008353984
568,Georgia,GEO,2006,334.1153801040067
569,Georgia,GEO,2007,418.35120682259344
570,Georgia,GEO,2008,354.0098335099251
571,Georgia,GEO,2009,347.4441891142851
572,Georgia,GEO,2010,419.191445361608
573,Georgia,GEO,2011,639.4163725271583
574,Georgia,GEO,2012,1102.8686138470764
575,Georgia,GEO,2013,850.0630058254227
576,Germany,DEU,2005,46834.52913764328
577,Germany,DEU,2006,48728.38627927452
578,Germany,DEU,2007,51240.46001920746
579,Germany,DEU,2008,45485.67892834225
580,Germany,DEU,2009,48914.77767460314
581,Germany,DEU,2010,46622.59161515343
582,Germany,DEU,2011,42165.76320807876
583,Germany,DEU,2012,45163.42441463516
584,Germany,DEU,2013,36883.039541359256
585,Ghana,GHA,2005,-12355.064437275409
586,Ghana,GHA,2006,-15888.033546923554
587,Ghana,GHA,2007,-7814.839794474141
588,Ghana,GHA,2008,-7368.670711952684
589,Ghana,GHA,2009,-5040.704122092633
590,Ghana,GHA,2010,-1857.7469412691355
591,Ghana,GHA,2011,-5578.378243716725
592,Ghana,GHA,2012,-5236.356688736691
593,Ghana,GHA,2013,-7743.453375570643
594,Greece,GRC,2005,5733.063197276421
595,Greece,GRC,2006,6298.602518420494
596,Greece,GRC,2007,6454.620614018551
597,Greece,GRC,2008,5332.573657720681
598,Greece,GRC,2009,6654.493679699863
599,Greece,GRC,2010,5143.226096134057
600,Greece,GRC,2011,4486.994457486429
601,Greece,GRC,2012,5550.255642147504
602,Greece,GRC,2013,3441.1497721122946
603,Grenada,GRD,2005,81.3853222116429
